Name,Sex,Age,Height,Weight,Team,Medal
Anders Bardal,M,31.0,186.0,60.0,Norway,Bronze
Thomas Diethart,M,21.0,172.0,60.0,Austria,Silver
Severin Freund,M,25.0,185.0,67.0,Germany,Gold
Michael Haybck,M,22.0,182.0,65.0,Austria,Silver
Daniela Iraschko-Stolz,F,30.0,164.0,52.0,Austria,Silver
Daiki Ito,M,28.0,172.0,57.0,Japan,Bronze
Noriaki Kasai,M,41.0,176.0,60.0,Japan,Silver
Noriaki Kasai,M,41.0,176.0,60.0,Japan,Bronze
Marinus Kraus,M,22.0,173.0,59.0,Germany,Gold
Coline Mattel,F,18.0,165.0,57.0,France,Bronze
Thomas Morgenstern,M,27.0,184.0,67.0,Austria,Silver
Peter Prevc,M,21.0,169.0,56.0,Slovenia,Silver
Peter Prevc,M,21.0,169.0,56.0,Slovenia,Bronze
Gregor Schlierenzauer,M,24.0,182.0,64.0,Austria,Silver
Reruhi Shimizu,M,20.0,172.0,59.0,Japan,Bronze
Kamil Wiktor Stoch,M,26.0,173.0,53.0,Poland,Gold
Kamil Wiktor Stoch,M,26.0,173.0,53.0,Poland,Gold
Taku Takeuchi,M,26.0,175.0,61.0,Japan,Bronze
Carina Vogt,F,22.0,171.0,62.0,Germany,Gold
Andreas Wank,M,25.0,189.0,72.0,Germany,Gold
Andreas Wellinger,M,18.0,183.0,65.0,Germany,Gold
