ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Event;Medal
48;Abdelhak Aatakni;M;24.0;;64.0;Morocco;MAR;2012 Summer;2012;Summer;London;Boxing Men's Light-Welterweight;
105;Ilyas Abbadi;M;19.0;175.0;75.0;Algeria;ALG;2012 Summer;2012;Summer;London;Boxing Men's Welterweight;
105;Ilyas Abbadi;M;23.0;175.0;75.0;Algeria;ALG;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Middleweight;
217;Reskalla Mohamed Abdel Rehim;M;22.0;165.0;48.0;Egypt;EGY;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Flyweight;
218;Ahmed Ali Abdel Samad;M;27.0;195.0;95.0;Egypt;EGY;2000 Summer;2000;Summer;Sydney;Boxing Men's Super-Heavyweight;
228;Mahmoud Abdelaal;M;24.0;176.0;60.0;Egypt;EGY;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Lightweight;
262;Yhyacinthe Mewoli Abdon;M;26.0;176.0;60.0;Cameroon;CMR;2012 Summer;2012;Summer;London;Boxing Men's Lightweight;
272;Berik Abdrakhmanov;M;30.0;165.0;60.0;Kazakhstan;KAZ;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Lightweight;
318;Ahmed Abdulkareem Ahmed;M;20.0;;;Iraq;IRQ;2012 Summer;2012;Summer;London;Boxing Men's Welterweight;
335;Abdulqdir Abdullayev;M;28.0;188.0;91.0;Azerbaijan;AZE;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Heavyweight;
337;Mukhammad Kadyr Abdullayev;M;26.0;169.0;63.0;Uzbekistan;UZB;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Welterweight;Gold
349;Waheed Abdulridha Waheed Karaawi;M;33.0;178.0;74.0;Iraq;IRQ;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Middleweight;
352;Sherzod Abdurahmonov;M;22.0;178.0;73.0;Uzbekistan;UZB;2004 Summer;2004;Summer;Athina;Boxing Men's Middleweight;
356;Adlan Aliyevich Abdurashidov;M;26.0;172.0;60.0;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Lightweight;
361;Aybek Abdymomunov;M;18.0;162.0;54.0;Kyrgyzstan;KGZ;2004 Summer;2004;Summer;Athina;Boxing Men's Bantamweight;
431;Narek Abgaryan;M;24.0;166.0;52.0;Armenia;ARM;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Flyweight;
450;Ceyhun Abiyev;M;29.0;163.0;48.0;Azerbaijan;AZE;2004 Summer;2004;Summer;Athina;Boxing Men's Light-Flyweight;
565;Glauclio Serro Abreu;M;26.0;185.0;75.0;Brazil;BRA;2004 Summer;2004;Summer;Athina;Boxing Men's Middleweight;
602;Abudoureheman;M;22.0;182.0;75.0;China;CHN;2000 Summer;2000;Summer;Sydney;Boxing Men's Middleweight;
620;Kanat Kalizhanovich Abutalipov;M;25.0;168.0;56.0;Kazakhstan;KAZ;2008 Summer;2008;Summer;Beijing;Boxing Men's Bantamweight;
620;Kanat Kalizhanovich Abutalipov;M;29.0;168.0;56.0;Kazakhstan;KAZ;2012 Summer;2012;Summer;London;Boxing Men's Bantamweight;
723;Osmay Acosta Duarte;M;23.0;188.0;91.0;Cuba;CUB;2008 Summer;2008;Summer;Beijing;Boxing Men's Heavyweight;Bronze
743;Arslanbek Aylow;M;23.0;177.0;75.0;Turkmenistan;TKM;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Middleweight;
832;Nicola Virginia Adams;F;29.0;164.0;51.0;Great Britain;GBR;2012 Summer;2012;Summer;London;Boxing Women's Flyweight;Gold
832;Nicola Virginia Adams;F;33.0;164.0;51.0;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Women's Flyweight;Gold
858;Charles Adamu;M;23.0;170.0;81.0;Ghana;GHA;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Heavyweight;
959;Christian Donfack Adjoufack;M;28.0;175.0;80.0;Cameroon;CMR;2012 Summer;2012;Summer;London;Boxing Men's Light-Heavyweight;
1035;Erkin Adylbek uulu;M;25.0;190.0;80.0;Kyrgyzstan;KGZ;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Heavyweight;
1075;Abel Aferalign;M;20.0;169.0;54.0;Ethiopia;ETH;2004 Summer;2004;Summer;Athina;Boxing Men's Bantamweight;
1272;Yosvany Aguilera Zamora;M;25.0;163.0;54.0;Cuba;CUB;2000 Summer;2000;Summer;Sydney;Boxing Men's Featherweight;
1418;Sohail Ahmed;M;25.0;174.0;57.0;Pakistan;PAK;2004 Summer;2004;Summer;Athina;Boxing Men's Featherweight;
1517;Hamid Ait Bighrade;M;28.0;164.0;54.0;Morocco;MAR;2004 Summer;2004;Summer;Athina;Boxing Men's Bantamweight;
1520;Miloud Ait Hammi;M;26.0;178.0;69.0;Morocco;MAR;2004 Summer;2004;Summer;Athina;Boxing Men's Welterweight;
1548;Efe Ajagba;M;22.0;190.0;;Nigeria;NGR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Super-Heavyweight;
1555;Geard Ajetovi;M;19.0;170.0;67.0;Serbia and Montenegro;SCG;2000 Summer;2000;Summer;Sydney;Boxing Men's Welterweight;
1562;Olusegun Ajose;M;20.0;165.0;63.0;Nigeria;NGR;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Welterweight;
1577;Muideen Akanji;M;20.0;;75.0;Nigeria;NGR;2012 Summer;2012;Summer;London;Boxing Men's Middleweight;
1647;Murodzhon Kakharovich Akhmadaliyev;M;21.0;165.0;56.0;Uzbekistan;UZB;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Bantamweight;Bronze
1733;Merey Akshalov;M;20.0;179.0;60.0;Kazakhstan;KAZ;2008 Summer;2008;Summer;Beijing;Boxing Men's Lightweight;
1762;Naser Al Shami;M;22.0;187.0;81.0;Syria;SYR;2004 Summer;2004;Summer;Athina;Boxing Men's Heavyweight;Bronze
1991;Obada Al-Kasbeh;M;22.0;166.0;64.0;Jordan;JOR;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Men's Light-Welterweight;
2326;Jegbefumere Albert;M;19.0;195.0;81.0;Nigeria;NGR;2000 Summer;2000;Summer;Sydney;Boxing Men's Light-Heavyweight;
2364;Igor Alborov;M;21.0;183.0;91.0;Uzbekistan;UZB;2004 Summer;2004;Summer;Athina;Boxing Men's Heavyweight;
2471;Aleksandar Emilov Aleksandrov;M;27.0;164.0;51.0;Bulgaria;BUL;2012 Summer;2012;Summer;London;Boxing Men's Light-Flyweight;
2500;Yana Ivanovna Alekseevna;F;28.0;169.0;60.0;Azerbaijan;AZE;2016 Summer;2016;Summer;Rio de Janeiro;Boxing Women's Lightweight;
2504;Aleksandr Vyacheslavovich Alekseyev;M;23.0;188.0;91.0;Russia;RUS;2004 Summer;2004;Summer;Athina;Boxing Men's Heavyweight;
